temperature,vibration,voltage,current,pressure,rpm,load,power,runtime_hours,maintenance_gap_hours,efficiency,thermal_fluctuation,vibration_instability,machine_type,failure_type,state,is_anomaly,degradation_progress,timestamp
53.02,1.765,398.4,48.83,5.87,3296.0,54.8,19.52,4246.0,222.0,93.6,2.286,0.128,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:00:28
52.41,1.652,398.4,50.0,5.84,3261.0,56.0,21.26,614.0,475.0,92.8,0.901,0.088,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:02:46
50.73,1.743,401.2,41.03,6.26,3180.0,47.9,16.61,4209.0,278.0,92.4,1.323,0.303,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:04:35
54.37,1.585,401.0,46.3,5.94,3261.0,54.6,18.61,144.0,410.0,93.2,1.546,0.279,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:06:22
48.84,1.774,398.8,42.69,5.73,3255.0,50.0,16.88,5137.0,445.0,89.9,0.114,0.292,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:08:51
55.58,1.985,400.3,48.55,6.2,3124.0,55.7,19.47,7270.0,132.0,88.0,2.217,0.155,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:10:43
53.59,1.933,400.9,50.0,6.31,3342.0,58.7,20.05,7179.0,166.0,91.5,0.552,0.382,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:12:44
51.59,1.745,399.0,44.29,5.97,3136.0,50.7,17.77,4198.0,354.0,92.8,0.386,0.022,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:14:50
49.76,1.858,398.7,42.61,6.12,3188.0,53.9,17.07,2301.0,455.0,90.9,0.632,0.102,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:16:59
54.56,1.765,404.2,50.0,6.46,3330.0,59.4,22.14,813.0,419.0,96.4,1.486,0.17,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:18:40
53.16,2.019,396.3,50.0,6.06,3290.0,61.2,22.5,3155.0,469.0,91.2,1.328,0.107,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:20:37
54.91,1.86,400.8,47.08,5.72,3148.0,53.0,18.77,5835.0,450.0,89.4,0.376,0.104,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:22:29
52.73,1.982,404.0,47.68,5.78,3161.0,52.3,19.17,1974.0,169.0,93.5,1.903,0.127,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:24:33
50.91,1.742,399.8,48.44,6.26,3213.0,56.0,19.32,6379.0,256.0,93.7,0.397,0.816,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:26:36
52.84,1.849,402.2,50.0,6.42,3253.0,56.3,20.79,3142.0,427.0,90.1,0.769,0.213,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:28:38
52.19,1.641,401.1,42.53,6.36,3214.0,51.1,16.99,2940.0,154.0,94.1,0.773,0.154,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:30:54
55.23,2.019,403.0,47.31,6.11,3218.0,51.8,19.04,2770.0,194.0,92.3,1.284,0.012,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:32:42
49.12,1.987,400.2,47.15,5.85,3198.0,52.2,19.0,5021.0,52.0,93.4,0.068,0.195,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:34:30
52.89,2.043,398.1,50.0,5.74,3299.0,58.0,21.25,720.0,22.0,90.5,2.492,0.1,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:36:26
53.96,2.029,406.4,50.0,5.8,3218.0,58.4,22.52,2912.0,381.0,91.0,0.666,0.232,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:38:42
49.63,1.562,396.1,47.02,6.57,3249.0,55.7,18.44,458.0,194.0,92.1,3.522,0.121,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:40:15
51.77,1.866,400.3,50.0,6.82,3314.0,61.5,21.77,3720.0,277.0,89.5,0.228,0.176,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:42:52
54.02,1.733,398.9,46.87,6.51,3201.0,52.5,18.59,7032.0,370.0,90.7,1.315,0.166,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:44:13
52.13,1.698,401.6,42.37,5.9,3252.0,48.7,17.04,6032.0,380.0,94.2,1.958,0.006,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:46:17
52.35,2.176,403.2,50.0,6.11,3249.0,58.3,21.39,2696.0,340.0,93.5,1.001,0.21,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:48:43
52.24,1.791,401.2,49.22,5.86,3194.0,53.6,19.82,764.0,353.0,92.5,0.707,0.07,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:50:57
51.39,1.61,404.7,50.0,6.32,3371.0,60.7,20.67,3802.0,38.0,94.5,1.156,0.148,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:52:28
52.05,1.892,400.3,50.0,6.26,3292.0,58.4,21.24,5072.0,351.0,93.0,3.23,0.23,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:54:33
49.52,1.803,395.9,49.26,5.53,3263.0,52.4,19.38,714.0,487.0,88.2,0.544,0.171,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:56:58
56.22,1.856,394.9,50.0,6.32,3371.0,61.7,19.95,3377.0,144.0,94.5,0.008,0.014,CNC_MILL,none,healthy,0,0.0,2026-04-01 00:58:32
48.87,1.956,404.6,38.81,5.9,3224.0,49.7,15.8,5405.0,265.0,92.2,2.327,0.051,CNC_MILL,none,healthy,0,0.0,2026-04-01 01:00:33
